"entity","count05","count06","count07","count08","count09","count10","count11","count12","count13.x","count14.x","count15.x","count16.x","count17.x","count18.x","count.x","count20.x","count13.y","count14.y","count15.y","count16.y","count17.y","count18.y","count.y","count20.y","count21","count22","count23","count24","count25"
"Afghanistan",0,33,4,0,6,106,27,10,6,74,94,12,9,4,19,32,6,74,94,12,9,4,19,32,68,16,4,10,1
"Latin America",0,30,0,0,0,7,5,0,36,49,67,5,2,6,4,0,36,49,67,5,2,6,4,0,6,2,0,19,3
"Latin American",0,27,0,0,0,0,0,0,11,37,29,2,3,5,3,3,11,37,29,2,3,5,3,3,4,0,0,9,3
"NAM",0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazilian",0,22,0,0,0,4,0,3,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0
"Chilean",0,19,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"China-Africa",0,16,16,0,17,6,0,52,16,8,48,13,3,2,10,9,16,8,48,13,3,2,10,9,24,6,24,6,0
"the Middle East",0,14,3,8,5,5,3,11,4,27,18,22,3,8,12,17,4,27,18,22,3,8,12,17,15,12,8,19,1
"the Taiwan Straits",0,12,4,0,3,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,4,0,0,0,2,0,0,0,0
"China-Africa Cooperation",0,9,0,0,6,0,2,0,0,4,6,0,2,6,2,4,0,4,6,0,2,6,2,4,6,3,2,9,0
"Afghan",0,9,0,0,0,47,8,0,0,29,39,3,2,2,3,19,0,29,39,3,2,2,3,19,25,5,0,0,0
"Romania",0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Iranian",0,8,6,3,4,8,0,16,8,15,18,26,0,6,6,2,8,15,18,26,0,6,6,2,5,4,3,0,0
"European",0,8,6,14,13,19,65,67,23,32,35,10,20,2,10,3,23,32,35,10,20,2,10,3,13,4,0,8,2
"Arabic",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the China-Arab Cooperation Forum",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IPR",0,6,2,0,11,0,0,0,3,3,0,4,0,11,0,0,3,3,0,4,0,11,0,0,0,0,0,0,0
"Indian",0,6,0,14,0,12,4,21,7,11,11,0,3,5,0,0,7,11,11,0,3,5,0,0,0,0,0,0,0
"NPC",0,6,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0
"the Standing Committee of Chinas",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"National Peoples Congress NPC",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tang",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Romanian",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the World Trade Organization",0,5,0,3,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,12,3,0,6,2
"Asia-Europe",0,5,0,4,9,11,0,4,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"the Doha Round",0,5,4,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Korean",0,5,0,3,0,4,6,0,7,0,11,12,2,5,2,0,7,0,11,12,2,5,2,0,0,0,0,0,0
"Middle East",0,5,2,0,6,0,3,0,0,11,0,11,0,2,2,0,0,11,0,11,0,2,2,0,4,0,6,5,0
"China-Chile Economic and Trade Cooperation Forum",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Raising China-Chile Economic and Trade Cooperation",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caribbean",0,5,0,0,0,0,0,0,29,45,38,0,3,6,4,3,29,45,38,0,3,6,4,3,7,3,0,6,4
"Kazakhstan",0,5,3,0,0,15,0,6,18,7,10,0,4,0,3,8,18,7,10,0,4,0,3,8,0,53,0,30,4
"Uzbekistan",0,5,2,0,0,9,14,4,6,0,0,2,0,0,0,0,6,0,0,2,0,0,0,0,0,56,0,0,1
"the Asia Pacific",0,4,6,0,0,26,3,0,19,0,5,0,0,2,3,0,19,0,5,0,0,2,3,0,0,0,0,0,0
"Forum",0,4,0,4,0,3,0,0,0,0,6,0,0,0,3,0,0,0,6,0,0,0,3,0,0,0,0,0,0
"Yang",0,4,12,10,9,22,6,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cuba",0,4,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,6,0,0
"Iran",0,4,3,0,0,6,2,9,2,20,0,49,0,2,0,0,2,20,0,49,0,2,0,0,4,4,6,9,0
"San Diego",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the Communist Party of China",0,4,2,0,0,0,0,0,8,7,9,0,3,3,12,10,8,7,9,0,3,3,12,10,22,14,15,6,5
"Deng Xiaoping",0,4,0,4,0,0,5,4,0,3,7,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0
"Jiang Zemin",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"LAS",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Kyrgyzstan",0,4,4,0,0,3,0,6,11,0,0,0,0,0,3,5,11,0,0,0,0,0,3,5,0,0,0,0,2
"Tajikistan",0,4,2,2,0,13,0,5,0,0,0,0,0,0,20,4,0,0,0,0,0,0,20,4,0,0,0,22,0
"Saudi Arabia",0,4,0,0,0,0,0,0,0,4,0,30,0,0,0,8,0,4,0,30,0,0,0,8,0,0,5,8,0
"the State Council of the Peoples Republic of China",0,3,2,0,9,13,5,11,7,8,8,0,0,0,0,0,7,8,8,0,0,0,0,0,0,0,2,0,4
"the CPC Central Committee",0,3,0,0,11,9,4,5,7,6,5,8,11,5,7,9,7,6,5,8,11,5,7,9,7,19,9,7,0
"Business Representatives",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FOCAC",0,3,0,0,8,0,0,17,0,0,28,4,0,6,2,29,0,0,28,4,0,6,2,29,20,5,4,6,0
"CSIS",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sino-US",0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Israeli",0,3,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,8,0,0,2,0,0,0,0,0,3,17,1
"Northeast Asia",0,3,5,0,2,5,24,5,8,0,19,0,2,0,0,0,8,0,19,0,2,0,0,0,0,0,0,0,0
"Lebanon",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"Palestinian",0,3,0,0,0,0,0,0,3,16,0,15,5,0,4,4,3,16,0,15,5,0,4,4,24,9,24,34,1
"Organization",0,3,0,3,0,4,11,0,0,0,0,0,0,2,0,5,0,0,0,0,0,2,0,5,0,0,2,4,2
"the Standing Committee of the National Peoples Congress NPC",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the China-Chile Economic and Trade Cooperation Forum",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senate",0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Frei",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zhang Ruizhen",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lula",0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"China-Arab Cooperation Forum",0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the Rio Group",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Putin",0,3,2,0,2,0,0,4,10,0,0,0,0,3,11,3,10,0,0,0,0,3,11,3,0,0,4,3,0
"the United Arab Emirates",0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"the Shanghai Spirit",0,3,0,0,0,0,3,3,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,1
"the Shanghai Summit",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kabul",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the Afghanistan Compact",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Partners",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the Human Rights Council",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Dear Friends",0,2,2,6,2,0,0,3,8,5,20,0,0,0,0,0,8,5,20,0,0,0,0,0,4,4,0,7,0
"Bombay",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Asia",0,2,5,0,0,3,2,4,13,0,26,0,0,0,0,0,13,0,26,0,0,0,0,0,0,0,6,0,0
"the Ministry of Commerce of China",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wang Gang",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the General Office of the CPC Central Committee",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hanoi",0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0
"The Asia Pacific",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the UN General Assembly",0,2,2,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,4,0,0,6,10,7,0,6,1
"the African Union",0,2,3,11,0,0,0,7,5,0,9,0,2,0,5,5,5,0,9,0,2,0,5,5,4,4,5,5,0
"NEPAD",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the UN Millennium Development Goals",0,2,0,0,5,5,4,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"the Third Ministerial Conference of the Forum on China-Africa Cooperation",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meles Zenawi",0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the State Council Of the Peoples Republic of China",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Beijing Summit",0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the Beijing Summit of the Forum on China-Africa Cooperation",0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Guangxi",0,2,0,3,0,0,2,3,0,0,0,24,0,0,0,0,0,0,0,24,0,0,0,0,0,0,5,0,0
"Nanning",0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indian Ocean",0,2,0,0,0,0,3,0,3,0,5,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0
"Treaty",0,2,0,3,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pakistan",0,2,3,0,0,47,25,0,97,0,83,0,4,2,6,3,97,0,83,0,4,2,6,3,0,3,2,0,0
"Dear Colleagues Ladies and Gentlemen",0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the NAM Troika",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the Security Council Resolution",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korean Peninsula",0,2,0,0,0,0,0,6,0,0,0,0,4,3,0,0,0,0,0,0,4,3,0,0,0,0,0,7,0
"the Cuban Government",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SME",0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the World Health Organization",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,16,5,0,0,0,1
"South Asian",0,2,2,0,0,0,0,0,4,0,29,0,0,0,0,0,4,0,29,0,0,0,0,0,0,0,7,0,0
"FTA",0,2,7,0,0,11,16,7,22,9,9,3,3,0,3,4,22,9,9,3,3,0,3,4,0,0,0,0,0
"the Standing Committee of the National Peoples Congress of China",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eduardo Frei Ruiz-Tagle Ladies",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the Pacific Ocean",0,2,0,0,3,0,3,0,3,0,5,0,0,2,0,0,3,0,5,0,0,2,0,0,0,0,0,0,0
"the Republic of Chile",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the National Peoples Congress NPC",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"democratic",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lagos",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the China-Chile",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The China-Chile",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"China Minmetals Corporation",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"China Development Bank",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Codelco",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brasilia",0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Aldo Rebelo",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chamber of Deputies",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the Chamber of Deputies",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MoU",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SEF",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shanghai Cooperation Organization",0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the Andean Community of Nations",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Latin-American",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Latin-America",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Committee",0,2,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"St Petersburg",0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"the Council of the Foreign Ministers of Member Countries",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mohammed Hussain Al Shaali",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mohammad Hussain Al Shaali",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amre Moussa",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arab States",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the Shanghai Five",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eurasia",0,2,0,0,2,0,0,5,0,12,6,0,0,2,0,0,0,12,6,0,0,2,0,0,0,0,0,0,0
"Karzai",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the Tashkent Summit",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Russian",0,2,7,2,15,11,5,14,14,3,7,2,0,6,12,8,14,3,7,2,0,6,12,8,0,0,0,6,4
"the Conference on Interaction and Confidence-Building Measures",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"China-Romania Economic and Trade Forum",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nigeria",0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"Kenya",0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"Singapore",0,0,29,4,3,6,0,0,0,0,47,0,0,5,4,3,0,0,47,0,0,5,4,3,0,0,0,0,0
"Iraq",0,0,17,0,0,0,0,0,0,6,0,4,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0
"SAARC",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Africa",0,0,12,6,0,3,0,0,15,5,37,3,5,6,0,0,15,5,37,3,5,6,0,0,0,0,25,4,0
"the United Kingdom",0,0,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Yang Jiechi",0,0,10,2,2,10,5,21,0,0,0,10,0,0,3,0,0,0,0,10,0,0,3,0,0,0,0,0,0
"Central Asia",0,0,9,0,0,8,0,0,4,4,5,2,0,0,4,3,4,4,5,2,0,0,4,3,0,9,14,9,8
"ICI",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Central Asian",0,0,8,0,0,4,19,4,9,0,0,2,2,0,5,4,9,0,0,2,2,0,5,4,3,8,22,7,18
"ARF",0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the United Nations Framework Convention on Climate Change",0,0,7,5,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turkmenistan",0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"ADB",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UNFCCC",0,0,6,6,7,0,0,0,0,4,4,0,0,0,3,0,0,4,4,0,0,0,3,0,0,0,0,0,0
"Congress",0,0,6,2,0,0,0,0,5,0,0,0,3,2,0,0,5,0,0,0,3,2,0,0,0,8,0,0,0
"France",0,0,6,0,0,0,14,4,0,57,30,22,0,4,6,6,0,57,30,22,0,4,6,6,0,0,0,87,0
"Darfur",0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paulson",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bishkek",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iraqi",0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Australian",0,0,5,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"Asia Pacific",0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Diet",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Huludao",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"avian",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Niblett",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sino-European",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"China-Russia Economic Forum",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Convention",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"John Howard",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The ASEAN Plus Three",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Nations",0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,2,0,1
"Center",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SED",0,0,3,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nixon",0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0
"Viktor Zubkov",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sudan",0,0,3,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"the National Program on Addressing Climate Change",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rice",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sydney",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shinzo Abe",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Howard",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kyoto Protocol",0,0,3,8,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the World Economic Forum",0,0,3,3,13,6,3,0,0,0,0,2,4,3,0,0,0,0,0,2,4,3,0,0,3,0,0,0,2
"Chinese Government",0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bakiev",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the ASEAN Plus Three",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the US",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the Boards of Governors",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the Peoples Bank of China",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the State Council of The Peoples Republic of China",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the Scientific Outlook on Development",0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"the United Nations Regional Center for Central Asia on Preventive Diplomacy",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eurasian",0,0,2,0,0,0,0,28,5,8,8,13,2,0,0,0,5,8,8,13,2,0,0,0,0,17,3,5,0
"Henry Paulson",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the Royal Institute of International Affairs London",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chatham House",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"National Congress",0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,14,5,0,0
"congress",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Earth",0,0,2,2,2,7,0,0,0,0,0,3,0,0,6,12,0,0,0,3,0,0,6,12,13,5,6,7,2
"Scientific Thinking on Development",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Terracotta Army",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the British Museum",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
